id	yearBCAD
BaiyangcunM13.SG	-1512
BaiyangcunM13_LowCov.AG	-1682
BaiyangcunM13_LowCov.AG	-1580
BaiyangcunM13_LowCov.AG	-1623
BaiyangcunM14.SG	-1570
BaiyangcunM14.SG	-1570
BaiyangcunM14.SG	-1584
BaiyangcunM15_d_LowCov_d.AG	-1441
BaiyangcunM15_d_LowCov_d.AG	-1626
BaiyangcunM15_d_LowCov_d.AG	-1529
BaiyangcunM17_LowCov.AG	-1677
BaiyangcunM17_LowCov.AG	-1434
BaiyangcunM17_LowCov.AG	-1471
BaiyangcunM1_E.AG	-1425
BaiyangcunM1_E.AG	-1454
BaiyangcunM1_E.AG	-1476
BaiyangcunM1_W.SG	-1501
BaiyangcunM1_W.SG	-1495
BaiyangcunM1_W.SG	-1622
BaiyangcunM4.AG	-1536
BaiyangcunM4.AG	-1555
BaiyangcunM4.AG	-1617
BaiyangcunM5_LowCov.AG	-1435
BaiyangcunM5_LowCov.AG	-1665
BaiyangcunM5_LowCov.AG	-1546
BaiyangcunM6.AG	-1428
BaiyangcunM6.AG	-1546
BaiyangcunM6.AG	-1579
BaiyangcunM8.AG	-1512
BaiyangcunM8.AG	-1446
BaiyangcunM8.AG	-1536
BaiyangcunM9.SG	-1474
BaiyangcunM9.SG	-1493
BaiyangcunM9.SG	-1636
BaiyangcunW1.SG	-1454
BaiyangcunW1.SG	-1426
BaiyangcunW1.SG	-1426
BaiyangcunW5.SG	-1635
BaiyangcunW5.SG	-1587
BaiyangcunW5.SG	-1488
C3427.SG	1066
C3427.SG	810
C3427.SG	978
C4783_C202.SG	-3022
C4783_C202.SG	-2933
C4783_C202.SG	-3037
CSP132.SG	841
CSP132.SG	891
CSP132.SG	841
CSP133.SG	-835
CSP133.SG	-900
CSP133.SG	-833
CSP144.SG	-515
CSP144.SG	-458
CSP144.SG	-654
Dadunzi.AG.SG	1769
Dadunzi.AG.SG	1736
Dadunzi.AG.SG	1869
Dadunzi.AG	1815
Dadunzi.AG	1756
Dadunzi.AG	1755
Dadunzi_sg.SG	1711
Dadunzi_sg.SG	1736
Dadunzi_sg.SG	1799
DadunziM23.AG	-105
DadunziM23.AG	-78
DadunziM23.AG	-33
DadunziM24_1.AG	-352
